  0%|                                                            | 0/4000 [00:00<?, ?it/s]/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/autograd/graph.py:841: UserWarning: c10d::broadcast_: an autograd kernel was not registered to the Autograd key(s) but we are trying to backprop through it. This may lead to silently incorrect behavior. This behavior is deprecated and will be removed in a future version of PyTorch. If your operator is differentiable, please ensure you have registered an autograd kernel to the correct Autograd key (e.g. DispatchKey::Autograd, DispatchKey::CompositeImplicitAutograd). If your operator is not differentiable, or to squash this warning and use the previous behavior, please register torch::CppFunction::makeFallthrough() to DispatchKey::Autograd. (Triggered internally at /pytorch/torch/csrc/autograd/autograd_not_implemented_fallback.cpp:62.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/deepspeed/runtime/zero/stage3.py:1208: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                          
{'loss': 1.9297, 'grad_norm': 0.96233780720482, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9141, 'grad_norm': 0.9770584678061589, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.7969, 'grad_norm': 0.9324530492013224, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9531, 'grad_norm': 0.9802060934291845, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.7578, 'grad_norm': 0.8873466251714293, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9922, 'grad_norm': 0.9963254173000924, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9531, 'grad_norm': 0.9173077740028663, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.875, 'grad_norm': 0.9303724826879656, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.8672, 'grad_norm': 0.8842524035774072, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.7031, 'grad_norm': 0.8396484147839611, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.7266, 'grad_norm': 0.9517271704294218, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9453, 'grad_norm': 0.9459902012904257, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9141, 'grad_norm': 0.9409887884041679, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8984, 'grad_norm': 0.9384394706834952, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.6797, 'grad_norm': 0.8290549760542497, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0781, 'grad_norm': 1.0191364327721366, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0625, 'grad_norm': 1.0586838349584562, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0781, 'grad_norm': 1.0551937442435038, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8984, 'grad_norm': 0.9257256213508356, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0469, 'grad_norm': 0.9898798983385639, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9531, 'grad_norm': 0.9985952046813062, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.6562, 'grad_norm': 0.8262711413473409, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.5625, 'grad_norm': 0.7860569887734663, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9141, 'grad_norm': 0.9900494464894876, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.7422, 'grad_norm': 0.8912886439180877, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8281, 'grad_norm': 0.9159656502892265, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.7422, 'grad_norm': 0.8217946060371282, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0781, 'grad_norm': 0.9809841306065828, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0156, 'grad_norm': 1.0247803243304223, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0312, 'grad_norm': 0.965493913659974, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9844, 'grad_norm': 0.969995497860243, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.875, 'grad_norm': 0.9396074132660156, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0312, 'grad_norm': 1.0244359395006721, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.875, 'grad_norm': 0.9179895276903864, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8828, 'grad_norm': 0.9689744258690635, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8203, 'grad_norm': 0.935395995140352, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0938, 'grad_norm': 0.9773453893121743, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0, 'grad_norm': 0.9542829639796557, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0781, 'grad_norm': 0.9931290131782508, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9062, 'grad_norm': 0.9505781321913473, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9688, 'grad_norm': 1.0078314254521468, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0312, 'grad_norm': 0.9778936240416982, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.7891, 'grad_norm': 0.9431814337872728, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.7422, 'grad_norm': 0.8965801113096887, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.7109, 'grad_norm': 0.8727628173236612, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.6953, 'grad_norm': 0.8498562859608143, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.7578, 'grad_norm': 0.9240015363143765, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.7188, 'grad_norm': 0.8859375861166184, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8906, 'grad_norm': 0.9361929365015893, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.6953, 'grad_norm': 0.8746991321462162, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8984, 'grad_norm': 0.9602743201916477, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0156, 'grad_norm': 0.9820101958015524, 'learning_rate': 0.0002, 'epoch': 0.07}
  warnings.warn(  # warn only once
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/deepspeed/runtime/engine.py:2401: FutureWarning: Positional args are being deprecated, use kwargs instead. Refer to https://pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.state_dict for details.
  sd = self.module.state_dict(destination, prefix, keep_vars)
                                                                                          
{'loss': 1.8281, 'grad_norm': 0.9266564461489777, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.5703, 'grad_norm': 0.792456249870606, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9453, 'grad_norm': 1.0010084789119, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8984, 'grad_norm': 0.900038909071045, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9922, 'grad_norm': 1.0016504020026304, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8359, 'grad_norm': 0.8848453847879124, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.875, 'grad_norm': 0.9618461468727243, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7422, 'grad_norm': 0.8732041594898587, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8984, 'grad_norm': 0.9642089732479142, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8828, 'grad_norm': 0.912742770573602, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7969, 'grad_norm': 0.953345101379463, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7969, 'grad_norm': 0.9103008368256016, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 2.0625, 'grad_norm': 1.0482514854546177, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7656, 'grad_norm': 0.8499797145442465, 'learning_rate': 0.0002, 'epoch': 0.08}
